age_months,age_years,word,sentiment
29.000595494774018,2.416716291231168,hurt,anger
29.000595494774018,2.416716291231168,hurt,fear
29.000595494774018,2.416716291231168,hurt,negative
29.000595494774018,2.416716291231168,hurt,sadness
29.000595494774018,2.416716291231168,break,surprise
29.000595494774018,2.416716291231168,cry,negative
29.000595494774018,2.416716291231168,cry,sadness
28.789092178484157,2.39909101487368,backwards,disgust
28.789092178484157,2.39909101487368,backwards,negative
28.789092178484157,2.39909101487368,black,negative
28.789092178484157,2.39909101487368,black,sadness
28.789092178484157,2.39909101487368,black,negative
28.789092178484157,2.39909101487368,black,sadness
29.230579683361054,2.435881640280088,ken,positive
29.230579683361054,2.435881640280088,teacher,positive
29.230579683361054,2.435881640280088,teacher,trust
29.32914433561264,2.4440953613010534,leave,negative
29.32914433561264,2.4440953613010534,leave,sadness
29.32914433561264,2.4440953613010534,leave,surprise
28.789092178484157,2.39909101487368,donkey,disgust
28.789092178484157,2.39909101487368,donkey,negative
29.32914433561264,2.4440953613010534,leave,negative
29.32914433561264,2.4440953613010534,leave,sadness
29.32914433561264,2.4440953613010534,leave,surprise
29.230579683361054,2.435881640280088,trip,surprise
29.32914433561264,2.4440953613010534,leave,negative
29.32914433561264,2.4440953613010534,leave,sadness
29.32914433561264,2.4440953613010534,leave,surprise
29.230579683361054,2.435881640280088,eat,positive
29.000595494774018,2.416716291231168,pig,disgust
29.000595494774018,2.416716291231168,pig,negative
29.000595494774018,2.416716291231168,donkey,disgust
29.000595494774018,2.416716291231168,donkey,negative
29.230579683361054,2.435881640280088,eat,positive
29.000595494774018,2.416716291231168,kick,anger
29.000595494774018,2.416716291231168,kick,negative
29.000595494774018,2.416716291231168,donkey,disgust
29.000595494774018,2.416716291231168,donkey,negative
29.46056387194809,2.4550469893290074,cry,negative
29.46056387194809,2.4550469893290074,cry,sadness
29.230579683361054,2.435881640280088,highest,anticipation
29.230579683361054,2.435881640280088,highest,fear
29.230579683361054,2.435881640280088,highest,joy
29.230579683361054,2.435881640280088,highest,negative
29.230579683361054,2.435881640280088,highest,positive
29.230579683361054,2.435881640280088,highest,surprise
29.32914433561264,2.4440953613010534,sun,anticipation
29.32914433561264,2.4440953613010534,sun,joy
29.32914433561264,2.4440953613010534,sun,positive
29.32914433561264,2.4440953613010534,sun,surprise
29.32914433561264,2.4440953613010534,sun,trust
29.230579683361054,2.435881640280088,highest,anticipation
29.230579683361054,2.435881640280088,highest,fear
29.230579683361054,2.435881640280088,highest,joy
29.230579683361054,2.435881640280088,highest,negative
29.230579683361054,2.435881640280088,highest,positive
29.230579683361054,2.435881640280088,highest,surprise
29.32914433561264,2.4440953613010534,sky,positive
29.000595494774018,2.416716291231168,eat,positive
29.000595494774018,2.416716291231168,dinner,positive
29.46056387194809,2.4550469893290074,fall,negative
29.46056387194809,2.4550469893290074,fall,sadness
29.46056387194809,2.4550469893290074,fall,negative
29.46056387194809,2.4550469893290074,fall,sadness
29.230579683361054,2.435881640280088,hiding,fear
29.526273640115814,2.4605228033429847,sugar,positive
29.526273640115814,2.4605228033429847,sugar,positive
29.46056387194809,2.4550469893290074,watch,anticipation
29.46056387194809,2.4550469893290074,watch,fear
29.230579683361054,2.435881640280088,hiding,fear
29.46056387194809,2.4550469893290074,watch,anticipation
29.46056387194809,2.4550469893290074,watch,fear
29.230579683361054,2.435881640280088,hide,fear
29.230579683361054,2.435881640280088,hiding,fear
29.32914433561264,2.4440953613010534,eat,positive
29.32914433561264,2.4440953613010534,dinner,positive
29.000595494774018,2.416716291231168,eat,positive
29.526273640115814,2.4605228033429847,sugar,positive
29.32914433561264,2.4440953613010534,eat,positive
29.32914433561264,2.4440953613010534,dinner,positive
29.526273640115814,2.4605228033429847,sugar,positive
29.32914433561264,2.4440953613010534,eat,positive
29.32914433561264,2.4440953613010534,eat,positive
29.32914433561264,2.4440953613010534,eat,positive
29.32914433561264,2.4440953613010534,eat,positive
29.46056387194809,2.4550469893290074,farm,anticipation
29.32914433561264,2.4440953613010534,good,anticipation
29.32914433561264,2.4440953613010534,good,joy
29.32914433561264,2.4440953613010534,good,positive
29.32914433561264,2.4440953613010534,good,surprise
29.32914433561264,2.4440953613010534,good,trust
29.000595494774018,2.416716291231168,bath,positive
29.32914433561264,2.4440953613010534,dinner,positive
29.723402944618986,2.4769502453849155,trash,disgust
29.723402944618986,2.4769502453849155,trash,negative
29.723402944618986,2.4769502453849155,trash,sadness
29.526273640115814,2.4605228033429847,favorite,joy
29.526273640115814,2.4605228033429847,favorite,positive
29.526273640115814,2.4605228033429847,favorite,trust
29.000595494774018,2.416716291231168,bath,positive
29.46056387194809,2.4550469893290074,time,anticipation
29.526273640115814,2.4605228033429847,good,anticipation
29.526273640115814,2.4605228033429847,good,joy
29.526273640115814,2.4605228033429847,good,positive
29.526273640115814,2.4605228033429847,good,surprise
29.526273640115814,2.4605228033429847,good,trust
29.000595494774018,2.416716291231168,bath,positive
29.854822480954432,2.4879018734128695,boy,disgust
29.854822480954432,2.4879018734128695,boy,negative
29.854822480954432,2.4879018734128695,happy,anticipation
29.854822480954432,2.4879018734128695,happy,joy
29.854822480954432,2.4879018734128695,happy,positive
29.854822480954432,2.4879018734128695,happy,trust
29.723402944618986,2.4769502453849155,lion,fear
29.723402944618986,2.4769502453849155,lion,positive
29.854822480954432,2.4879018734128695,boy,disgust
29.854822480954432,2.4879018734128695,boy,negative
29.854822480954432,2.4879018734128695,glad,anticipation
29.854822480954432,2.4879018734128695,glad,joy
29.854822480954432,2.4879018734128695,glad,positive
